Date,AAPL,AMZN,TSLA
8/6/13,334857600,1849000,46272500
8/7/13,298858000,1961000,91061000
8/8/13,255777200,2343400,136234000
8/9/13,266865200,1950300,44638500
8/12/13,364434000,1504500,74561000
8/13/13,881941200,2349900,43744500
8/14/13,756372400,1415000,58469000
8/15/13,490294000,2261400,50896000
8/16/13,362306000,2422500,35540500
8/19/13,510518400,2477400,40188500
8/20/13,358688400,1586300,32091000
8/21/13,335879600,1815300,31331500
8/22/13,244207600,1422600,52962000
8/23/13,222731600,1961900,64659500
8/26/13,330965600,1711700,120855500
8/27/13,424188800,2476000,87834500
8/28/13,307608000,1457100,73700500
8/29/13,239657600,1566400,47180000
8/30/13,272297200,1534700,55142000
9/3/13,331928800,2897600,60305500
9/4/13,345032800,2438600,57378500
9/5/13,236367600,1816600,33426500
9/6/13,359525600,2292000,43098500
9/9/13,340687200,1643600,71722500
9/10/13,743195600,1778400,44839000
9/11/13,898696400,1742600,29162500
9/12/13,404051200,1606200,30800000
9/13/13,298835600,1350600,27006000
9/16/13,543706800,1808400,37874500
9/17/13,399380800,2296500,27484500
9/18/13,456862000,2946400,27198500
9/19/13,404541200,2350900,77973000
9/20/13,699302800,5302300,67008500
9/23/13,762106800,1884900,40867000
9/24/13,364344400,2033600,31367000
9/25/13,316957200,2008600,41263500
9/26/13,237221600,1989900,33072000
9/27/13,228040400,1657500,29582000
9/30/13,260156400,1623600,44623500
10/1/13,353883600,2396400,38779500
10/2/13,289184000,2217400,103877000
10/3/13,322753200,2674800,119082500
10/4/13,258868400,1815000,72070000
10/7/13,312292400,2083200,57428000
10/8/13,290917200,3166200,68786000
10/9/13,301725200,3247400,76582500
10/10/13,278602800,2555100,44419500
10/11/13,267738800,2163100,41555500
10/14/13,261898000,1939100,38848000
10/15/13,320073600,2261100,54892500
10/16/13,251101200,2170700,41027000
10/17/13,253593200,2648400,33525000
10/18/13,290542000,5969800,29654000
10/21/13,398106800,2522300,57660500
10/22/13,534063600,3935500,56933500
10/23/13,313723200,2818200,66602000
10/24/13,384764800,5884700,54128500
10/25/13,337792000,12036800,37977500
10/28/13,550440800,3635800,39208500
10/29/13,635807200,2185400,70558500
10/30/13,354163600,4502200,42009000
10/31/13,275696400,2466800,46669000
11/1/13,274890000,3331000,35903000
11/4/13,244627600,1938400,65602000
11/5/13,265213200,2007100,112335500
11/6/13,223375600,2282300,155358500
11/7/13,262620400,4246300,111423500
11/8/13,279316800,2656900,112389500
11/11/13,227452400,2261700,69988000
11/12/13,204276800,2343100,74926000
11/13/13,197220800,2773300,63291500
11/14/13,282419200,4159800,61018500
11/15/13,317920400,4491600,49501000
11/18/13,244944000,2737400,115691000
11/19/13,208938800,1904800,99081000
11/20/13,193916800,1771500,69248000
11/21/13,262026800,1964600,59519000
11/22/13,223725600,2965500,55483500
11/25/13,229311600,2972300,51336500
11/26/13,401382800,2724400,69427500
11/27/13,363448400,2269700,61838000
11/29/13,318127600,2406000,48581000
12/2/13,472544800,4714000,38756000
12/3/13,450968000,3702900,128412000
12/4/13,377809600,2355300,65738500
12/5/13,447580000,1906500,46442000
12/6/13,344352400,1984700,39548000
12/9/13,320493600,2761800,45307500
12/10/13,278269600,2736800,53741000
12/11/13,359718800,2451300,35689000
12/12/13,262290000,2123700,53839000
12/13/13,332822000,3025000,52959500
12/16/13,282592800,2251700,33376500
12/17/13,229902400,2343900,52475000
12/18/13,565863200,3489100,57909500
12/19/13,320308800,2427200,63700000
12/20/13,436413600,5033900,37063000
12/23/13,501306400,2659500,26927500
12/24/13,167554800,1380400,49707500
12/26/13,204008000,1868500,35647500
12/27/13,225884400,1986900,27301000
12/30/13,253629600,2487100,22337500
12/31/13,223084400,1996500,21312000
1/2/14,234684800,2137800,30942000
1/3/14,392467600,2210200,23475000
1/6/14,412610800,3170600,26805500
1/7/14,317209200,1916000,25170500
1/8/14,258529600,2316500,30816000
1/9/14,279148800,2103000,26910000
1/10/14,304976000,2679500,37230500
1/13/14,378492800,2844900,31580500
1/14/14,332561600,2340100,138035000
1/15/14,391638800,2678300,102328000
1/16/14,229278000,2601200,59797000
1/17/14,426739600,4505100,46031000
1/21/14,328526800,3122100,48673500
1/22/14,379985200,2060500,35113000
1/23/14,403239200,3025400,39337000
1/24/14,429354800,4458400,38321500
